,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
299,mayo,38.8876,-76.5119,57.2,54,1,5.75,US,1619410550
300,ixtapa,20.7,-105.2,78.01,78,40,0.72,MX,1619410625
301,tromso,69.6496,18.957,32.0,93,75,4.61,NO,1619410702
302,namtsy,62.7161,129.6658,39.2,70,0,6.71,RU,1619410702
303,diyarb najm,30.7542,31.4393,64.0,67,24,11.01,EG,1619410703
304,rio gallegos,-51.6226,-69.2181,51.8,54,40,12.66,AR,1619410703
305,beringovskiy,63.05,179.3167,31.87,90,47,1.88,RU,1619410626
306,chokurdakh,70.6333,147.9167,30.9,98,100,10.63,RU,1619410265
307,langsa,4.4683,97.9683,90.95,54,100,1.28,ID,1619410704
308,muriwai beach,-36.8167,174.45,63.0,77,53,5.01,NZ,1619410705
309,turan,16.0678,108.2208,89.6,70,40,8.05,VN,1619410705
310,jember,-8.166,113.7032,89.89,47,1,3.33,ID,1619410665
311,zhigansk,66.7697,123.3711,25.68,94,100,15.99,RU,1619410705
312,kerema,-7.9631,145.7785,79.05,82,100,1.57,PG,1619410706
313,waddan,29.1614,16.139,57.9,74,13,8.79,LY,1619410706
314,high rock,26.6208,-78.2833,80.6,83,20,5.75,BS,1619410597
315,salta,-24.7859,-65.4117,57.2,88,90,1.68,AR,1619410520
316,carnarvon,-24.8667,113.6333,93.2,18,0,5.75,AU,1619410551
317,tilichiki,60.4667,166.1,31.84,97,100,4.88,RU,1619410450
318,huangchuan,32.1272,115.0394,58.84,76,100,2.93,CN,1619410707
319,biscarrosse,44.3945,-1.1672,55.4,82,0,8.05,FR,1619410708
320,chapleau,47.8405,-83.4034,15.22,95,10,1.9,CA,1619410512
321,kruisfontein,-34.0033,24.7314,64.15,57,100,2.91,ZA,1619410689
322,citluk,43.2286,17.7008,42.8,87,0,2.3,BA,1619410709
323,nabire,-3.3667,135.4833,85.21,66,80,5.03,ID,1619410709
324,smoljan,43.0924,19.2286,28.65,81,25,1.01,ME,1619410710
325,pedernales,18.0384,-71.744,77.43,73,67,3.56,DO,1619410491
326,praia da vitoria,38.7333,-27.0667,59.0,88,40,10.11,PT,1619410642
327,angoche,-16.2325,39.9086,73.94,92,81,3.94,MZ,1619410710
328,rawson,-43.3002,-65.1023,59.29,52,28,17.43,AR,1619410621
329,durango,24.8333,-104.8333,66.2,22,100,8.7,MX,1619410655
330,ekhabi,53.5102,142.9671,33.71,39,1,1.32,RU,1619410711
331,nadym,65.5333,72.5167,34.25,96,100,19.01,RU,1619410712
332,aksarka,66.5606,67.7975,35.47,98,99,11.48,RU,1619410712
333,vao,-22.6667,167.4833,74.34,70,58,15.95,NC,1619410710
334,pierre,44.3683,-100.351,53.6,58,90,16.11,US,1619410700
335,neuquen,-38.9516,-68.0591,55.4,76,0,8.34,AR,1619410713
